Overall rank,Player name,_,_,Market value at 10th December 2020,Change vs October 2020,Selected currency,Current club (20/21 season),Current league (20/21 season),Nationality,Position,Age,Height (cm),Preferred foot,Intl. caps,Intl. goals,End of contract,On loan from (parent club),Agent
31,Anthony Martial,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,79.3,2.892775658271347,EUR (€),Manchester United FC,Premier League,France,Forward,25.19,181,right,20,1,2024-06-30 00:00:00,"",USFA Management
32,Bernardo Silva,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,77.9,-2.6426629720288304,EUR (€),Manchester City FC,Premier League,Portugal,Right winger,26.51,173,left,49,7,2025-06-30 00:00:00,"",Gestifute
33,Robert Lewandowski,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/pl.png,77.9,-3.2628899594855483,EUR (€),FC Bayern München,Bundesliga,Poland,Forward,32.48,,right,116,63,2023-06-30 00:00:00,"",Pinhas Zahavi
34,Virgil van Dijk,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,76.8,-14.444860023777778,EUR (€),Liverpool FC,Premier League,Netherlands,Centre-back,29.60,193,right,34,4,2023-06-30 00:00:00,"",Wasserman Media Group
35,Gabriel Jesus,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,75,-5,EUR (€),Manchester City FC,Premier League,Brazil,Forward,23.86,175,right,39,18,2023-06-30 00:00:00,"",Cristiano Simões
36,Marc-André ter Stegen,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,75,0.6117144219264503,EUR (€),FC Barcelona,La Liga,Germany,Goalkeeper,28.79,187,right,24,0,2025-06-30 00:00:00,"",arena11 sports group
37,Casemiro,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,72.6,-1.154214395445848,EUR (€),Real Madrid CF,La Liga,Brazil,Defensive midfielder,28.97,185,right,45,3,2023-06-30 00:00:00,"",Best of You
38,Rodri,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,72.4,-4.327494957719921,EUR (€),Manchester City FC,Premier League,Spain,Defensive midfielder,24.64,191,right,17,1,2024-06-30 00:00:00,"",Pablo Barquero
39,Raphaël Varane,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,70.2,-5.2643896129806365,EUR (€),Real Madrid CF,La Liga,France,Centre-back,27.80,191,right,70,5,2022-06-30 00:00:00,"",Anthony Varane
40,Achraf Hakimi,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/ma.png,70,2.0615517213716856,EUR (€),FC Internazionale Milano,Serie A,Morocco,Right-back,22.28,179,right,31,2,2025-06-30 00:00:00,,Footfell & Echo Sports
41,Aymeric Laporte,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,70,-5,EUR (€),Manchester City FC,Premier League,France,Centre-back,26.71,,left,0,0,2025-06-30 00:00:00,"",Carles Puyol & Ivan De la Pena
42,Mikel Oyarzabal,https://www.footballbenchmark.com/documents/images/Logos/Real Sociedad de Fútbol.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,69.5,10.596760732893898,EUR (€),Real Sociedad de Fútbol,La Liga,Spain,Left winger,23.81,181,left,11,4,2024-06-30 00:00:00,"",Ernesto Oyarzabal
43,Thibaut Courtois,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,67.9,6.4024165454155195,EUR (€),Real Madrid CF,La Liga,Belgium,Goalkeeper,28.76,199,left,81,0,2024-06-30 00:00:00,"",Christophe Henrotay
44,Christian Pulisic,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/us.png,67.7,-5.732079042739926,EUR (€),Chelsea FC,Premier League,United States of America,Left winger,22.40,172,right,34,14,2024-06-30 00:00:00,"",Pulisic's relatives
45,Rúben Dias,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,67.5,16.400442092471167,EUR (€),Manchester City FC,Premier League,Portugal,Centre-back,23.75,186,right,22,0,2026-06-30 00:00:00,"",Gestifute
46,Andrew Robertson,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/Scotland.png,67.1,2.2710026797389133,EUR (€),Liverpool FC,Premier League,Scotland,Left-back,26.92,,left,40,3,2024-06-30 00:00:00,"",Pro Legal Group
47,Dayot Upamecano,https://www.footballbenchmark.com/documents/images/Logos/RB Leipzig.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,66.8,9.304766594097735,EUR (€),RB Leipzig,Bundesliga,France,Centre-back,22.30,185,right,3,1,2023-06-30 00:00:00,"",Sports Total
48,Jack Grealish,https://www.footballbenchmark.com/documents/images/Logos/Aston Villa FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,66.2,9.249431175264647,EUR (€),Aston Villa FC,Premier League,England,Attacking midfielder,25.43,175,right,3,0,2025-06-30 00:00:00,"",Stellar Group
49,Roberto Firmino,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,66,-3.8262682260329655,EUR (€),Liverpool FC,Premier League,Brazil,Forward,29.36,,right,45,15,2023-06-30 00:00:00,"",Rogon SportManagement
50,Mason Mount,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,65.7,6.354133243439442,EUR (€),Chelsea FC,Premier League,England,Attacking midfielder,22.09,178,right,10,2,2024-06-30 00:00:00,"",Stellar Group
51,Ederson,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,65.3,-5.5870383226328215,EUR (€),Manchester City FC,Premier League,Brazil,Goalkeeper,27.49,188,left,7,0,2025-06-30 00:00:00,"",Gestifute
52,Paulo Dybala,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,65.2,-8.202812268044369,EUR (€),Juventus FC,Serie A,Argentina,Forward,27.25,177,left,29,2,2022-06-30 00:00:00,"",Gustavo & Mariano Dybala
53,Sergej Milinkovic-Savic,https://www.footballbenchmark.com/documents/images/Logos/SS Lazio.png,https://www.footballbenchmark.com/documents/images/Flags/rs.png,65,0,EUR (€),SS Lazio,Serie A,Serbia,Central midfielder,25.96,191,right,20,3,2024-06-30 00:00:00,"",Mateja Kezman
54,Clément Lenglet,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,64.5,3.716281806303386,EUR (€),FC Barcelona,La Liga,France,Centre-back,25.66,,left,10,1,2026-06-30 00:00:00,"",Wasserman Media Group
55,Harry Maguire,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,64.3,4.130369724184291,EUR (€),Manchester United FC,Premier League,England,Centre-back,27.94,194,right,28,2,2025-06-30 00:00:00,"",Triple S Sports Management & Entertainment Group
56,Richarlison,https://www.footballbenchmark.com/documents/images/Logos/Everton FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,63.5,8.521168441653316,EUR (€),Everton FC,Premier League,Brazil,Forward,23.76,179,right,20,6,2024-06-30 00:00:00,"",Velasco Sport Group
57,Cristiano Ronaldo,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,63.2,-5.425210763473167,EUR (€),Juventus FC,Serie A,Portugal,Left winger,36.02,187,both,168,102,2022-06-30 00:00:00,"",Gestifute
58,Mason Greenwood,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,63,-3.6352985978765706,EUR (€),Manchester United FC,Premier League,England,Right winger,19.37,,both,1,0,2023-06-30 00:00:00,"",Greenwood's relatives
59,Benjamin Pavard,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,62.8,7.7729010606396685,EUR (€),FC Bayern München,Bundesliga,France,Right-back,24.88,186,right,31,2,2024-06-30 00:00:00,"",Carmenta
60,Declan Rice,https://www.footballbenchmark.com/documents/images/Logos/West Ham United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,62.7,10.201891385381863,EUR (€),West Ham United FC,Premier League,England,Defensive midfielder,22.08,185,right,10,2,2024-06-30 00:00:00,"",Wasserman Media Group
61,Fabián Ruiz,https://www.footballbenchmark.com/documents/images/Logos/SSC Napoli.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,62.4,4.0667872634766695,EUR (€),SSC Napoli,Serie A,Spain,Central midfielder,24.86,189,left,9,1,2023-06-30 00:00:00,"",You First Sports
62,Kingsley Coman,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,62.2,6.781145680526883,EUR (€),FC Bayern München,Bundesliga,France,Left winger,24.67,179,right,25,5,2023-06-30 00:00:00,"",Coman's relatives
63,Eden Hazard,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,61.7,-15.805162018988533,EUR (€),Real Madrid CF,La Liga,Belgium,Left winger,30.10,173,both,106,32,2024-06-30 00:00:00,"",Thierry Hazard
64,Nicolas Pépé,https://www.footballbenchmark.com/documents/images/Logos/Arsenal FC.png,https://www.footballbenchmark.com/documents/images/Flags/ci.png,60.9,-4.1864717868432635,EUR (€),Arsenal FC,Premier League,Ivory Coast,Right winger,25.71,,left,24,5,2024-06-30 00:00:00,"",IBS Agency
65,Hakim Ziyech,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/ma.png,60.4,-5.9484169169798875,EUR (€),Chelsea FC,Premier League,Morocco,Right winger,27.90,180,left,35,16,2025-06-30 00:00:00,"",Nakhli Mondial
66,Rodrygo,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,60.4,4.6218329828904245,EUR (€),Real Madrid CF,La Liga,Brazil,Right winger,20.10,,right,3,0,2025-06-30 00:00:00,"",Un1que Football
67,Leon Goretzka,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,60.2,3.2622820613871824,EUR (€),FC Bayern München,Bundesliga,Germany,Central midfielder,26.02,189,right,29,12,2022-06-30 00:00:00,"",
68,Marquinhos,https://www.footballbenchmark.com/documents/images/Logos/Paris Saint-Germain FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,59.9,10.866184398085707,EUR (€),Paris Saint-Germain FC,Ligue 1,Brazil,Centre-back,26.75,183,right,47,2,2024-06-30 00:00:00,"",Bertolucci Sports
69,Ferran Torres,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,58.9,14.072691791427069,EUR (€),Manchester City FC,Premier League,Spain,Right winger,20.95,,right,7,4,2025-06-30 00:00:00,"",Gestifute
70,Vinícius Júnior,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,58.6,5.554484188873239,EUR (€),Real Madrid CF,La Liga,Brazil,Left winger,20.59,177,right,1,0,2025-06-30 00:00:00,"",TFM Agency
71,N'Golo Kanté,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,58.1,-1.9915131414102587,EUR (€),Chelsea FC,Premier League,France,Central midfielder,29.87,168,right,44,2,2023-06-30 00:00:00,"",Abdelkarim Douis
72,Dejan Kulusevski,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/se.png,57.5,16.18491338307728,EUR (€),Juventus FC,Serie A,Sweden,Right winger,20.80,,left,8,1,2024-06-30 00:00:00,"",Stefano Sem
74,Eduardo Camavinga,https://www.footballbenchmark.com/documents/images/Logos/Stade Rennais FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,57.5,2.5,EUR (€),Stade Rennais FC,Ligue 1,France,Central midfielder,18.26,,left,2,1,2022-06-30 00:00:00,"",Moussa Sissoko
73,Martin Ødegaard,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/no.png,57.5,-4.287582655738007,EUR (€),Real Madrid CF,La Liga,Norway,Attacking midfielder,22.16,178,left,25,1,2023-06-30 00:00:00,"",KK Management
75,Álvaro Morata,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,57.4,9.316486647432193,EUR (€),Juventus FC,Serie A,Spain,Forward,28.31,189,right,36,18,2023-06-30 00:00:00,Atlético Madrid,Juanma López
77,Federico Valverde,https://www.footballbenchmark.com/documents/images/Logos/Real Madrid CF.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,57,-1.5615775803004723,EUR (€),Real Madrid CF,La Liga,Uruguay,Central midfielder,22.56,181,right,22,2,2025-06-30 00:00:00,"",Wasserman Media Group
76,Julian Brandt,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,57,-9.132237479615469,EUR (€),Borussia Dortmund,Bundesliga,Germany,Attacking midfielder,24.78,186,right,35,3,2024-06-30 00:00:00,"",Jürgen Brandt
78,Riyad Mahrez,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/dz.png,56.8,-6.6196344906118725,EUR (€),Manchester City FC,Premier League,Algeria,Right winger,29.98,179,left,61,18,2023-06-30 00:00:00,"",Sports Invest UK
79,Victor Osimhen,https://www.footballbenchmark.com/documents/images/Logos/SSC Napoli.png,https://www.footballbenchmark.com/documents/images/Flags/ng.png,56.8,3.7323822000740634,EUR (€),SSC Napoli,Serie A,Nigeria,Forward,22.12,185,right,8,4,2025-06-30 00:00:00,"",DW Sports Management
80,Diogo Jota,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,56.3,11.63258414222593,EUR (€),Liverpool FC,Premier League,Portugal,Left winger,24.19,,right,8,3,2025-06-30 00:00:00,"",Gestifute
81,Dominic Calvert-Lewin,https://www.footballbenchmark.com/documents/images/Logos/Everton FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,56.1,9.986192649880316,EUR (€),Everton FC,Premier League,England,Forward,23.91,176,right,3,2,2025-06-30 00:00:00,"",Downing SM
82,Donny van de Beek,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,55.9,-3.7123026890624686,EUR (€),Manchester United FC,Premier League,Netherlands,Central midfielder,23.82,,right,10,1,2025-06-30 00:00:00,"",Players United
83,Lucas Ocampos,https://www.footballbenchmark.com/documents/images/Logos/Sevilla FC.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,54.6,6.141164865465456,EUR (€),Sevilla FC,La Liga,Argentina,Right winger,26.59,187,both,5,2,2024-06-30 00:00:00,"",
