Overall rank,Player name,_,_,Market value at 10th December 2020,Change vs October 2020,Selected currency,Current club (20/21 season),Current league (20/21 season),Nationality,Position,Age,Height (cm),Preferred foot,Intl. caps,Intl. goals,End of contract,On loan from (parent club),Agent
451,Luca Waldschmidt,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,19.7,2.379161434192355,EUR (€),SL Benfica,Primeira Liga,Germany,Forward,24.73,181,left,7,2,2025-06-30 00:00:00,"",
459,Thiago Almada,https://www.footballbenchmark.com/documents/images/Logos/Vélez Sarsfield.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,19.5,-0.5,EUR (€),Vélez Sarsfield,Superliga Argentina,Argentina,Attacking midfielder,19.80,171,right,,,2023-06-30 00:00:00,"",
480,Emmanuel Dennis,https://www.footballbenchmark.com/documents/images/Logos/Club Brugge.png,https://www.footballbenchmark.com/documents/images/Flags/ng.png,18.9,3.2064041710017044,EUR (€),Club Brugge,Pro League,Nigeria,Forward,23.25,174,right,3,0,2022-06-30 00:00:00,"",
478,Harry Wilson,https://www.footballbenchmark.com/documents/images/Logos/Cardiff City FC.png,https://www.footballbenchmark.com/documents/images/Flags/Wales.png,18.9,0.10116634482523423,EUR (€),Cardiff City FC,EFL Championship,Wales,Right winger,23.89,173,left,17,3,2023-06-30 00:00:00,Liverpool FC,Base Soccer Agency
511,Matías Zaracho,https://www.footballbenchmark.com/documents/images/Logos/Clube Atlético Mineiro.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,18,0.8372528112360165,EUR (€),Clube Atlético Mineiro,Brazil Serie A,Argentina,Attacking midfielder,22.93,171,right,1,0,2025-10-15 00:00:00,"",
530,Pizzi,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,17.2,-0.97199016511804,EUR (€),SL Benfica,Primeira Liga,Portugal,Attacking midfielder,31.35,172,right,17,3,2023-06-30 00:00:00,"",
547,Abdülkadir Ömür,https://www.footballbenchmark.com/documents/images/Logos/Trabzonspor.png,https://www.footballbenchmark.com/documents/images/Flags/tr.png,16.8,-0.06436367246146091,EUR (€),Trabzonspor,Süper Lig,Turkey,Attacking midfielder,21.63,168,left,7,0,2022-06-30 00:00:00,"",
551,Gerson,https://www.footballbenchmark.com/documents/images/Logos/CR Flamengo.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,16.7,1.664167509210973,EUR (€),CR Flamengo,Brazil Serie A,Brazil,Central midfielder,23.73,175,left,,,2023-12-31 00:00:00,"",
553,Julian Weigl,https://www.footballbenchmark.com/documents/images/Logos/SL Benfica.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,16.6,-1.476874582456272,EUR (€),SL Benfica,Primeira Liga,Germany,Defensive midfielder,25.43,186,right,5,0,2024-06-30 00:00:00,"",
564,Hans Vanaken,https://www.footballbenchmark.com/documents/images/Logos/Club Brugge.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,16.3,3.0135484316132253,EUR (€),Club Brugge,Pro League,Belgium,Attacking midfielder,28.47,194,right,8,0,2025-06-30 00:00:00,"",
570,Todd Cantwell,https://www.footballbenchmark.com/documents/images/Logos/Norwich City FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,16,3.296863996450723,EUR (€),Norwich City FC,EFL Championship,England,Left winger,22.96,177,right,,,2022-06-30 00:00:00,"",
593,Joshua King,https://www.footballbenchmark.com/documents/images/Logos/AFC Bournemouth.png,https://www.footballbenchmark.com/documents/images/Flags/no.png,15.4,1.8916848243008424,EUR (€),AFC Bournemouth,EFL Championship,Norway,Forward,29.08,180,right,51,17,2021-06-30 00:00:00,"",
594,Moussa Marega,https://www.footballbenchmark.com/documents/images/Logos/FC Porto.png,https://www.footballbenchmark.com/documents/images/Flags/ml.png,15.4,-2.184390391726936,EUR (€),FC Porto,Primeira Liga,Mali,Forward,29.83,186,right,24,3,2021-06-30 00:00:00,"",
636,Mbwana Samatta,https://www.footballbenchmark.com/documents/images/Logos/Fenerbahce SK.png,https://www.footballbenchmark.com/documents/images/Flags/tz.png,14.2,-5.11568533871099,EUR (€),Fenerbahce SK,Süper Lig,Tanzania,Forward,28.14,180,right,51,18,2024-06-30 00:00:00,Aston Villa,SPOCS Global Sports
649,Agustín Almendra,https://www.footballbenchmark.com/documents/images/Logos/Boca Juniors.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,14,-1,EUR (€),Boca Juniors,Superliga Argentina,Argentina,Central midfielder,21.01,181,right,,,2022-06-30 00:00:00,"",
653,Pedro Guilherme Abreu dos Santos,https://www.footballbenchmark.com/documents/images/Logos/CR Flamengo.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,13.9,0.7180466158699907,EUR (€),CR Flamengo,Brazil Serie A,Brazil,Forward,23.65,185,right,0,0,2024-06-30 00:00:00,ACF Fiorentina,
664,Ugurcan Cakir,https://www.footballbenchmark.com/documents/images/Logos/Trabzonspor.png,https://www.footballbenchmark.com/documents/images/Flags/tr.png,13.6,-0.3906252178543283,EUR (€),Trabzonspor,Süper Lig,Turkey,Goalkeeper,24.86,191,right,4,0,2024-06-30 00:00:00,"",
673,Roman Yaremchuk,https://www.footballbenchmark.com/documents/images/Logos/KAA Gent.png,https://www.footballbenchmark.com/documents/images/Flags/ua.png,13.4,2.0617546539769087,EUR (€),KAA Gent,Pro League,Ukraine,Forward,25.21,191,both,19,6,2023-06-30 00:00:00,"",
691,Zinho Vanheusden,https://www.footballbenchmark.com/documents/images/Logos/Royal Standard de Liége.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,13,-1,EUR (€),Royal Standard de Liège,Pro League,Belgium,Centre-back,21.54,,right,1,0,2023-06-30 00:00:00,"",
701,Jefferson Lerma,https://www.footballbenchmark.com/documents/images/Logos/AFC Bournemouth.png,https://www.footballbenchmark.com/documents/images/Flags/co.png,12.8,-1.324989053314642,EUR (€),AFC Bournemouth,EFL Championship,Colombia,Defensive midfielder,26.30,185,right,18,0,2023-06-30 00:00:00,"",
728,Talles Magno,https://www.footballbenchmark.com/documents/images/Logos/CR Vasco da Gama.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,12.2,5.5577066734826515,EUR (€),CR Vasco da Gama,Brazil Serie A,Brazil,Left winger,18.63,185,left,,,2022-12-31 00:00:00,"",
737,Nicolás De La Cruz,https://www.footballbenchmark.com/documents/images/Logos/River Plate.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,12,-1.5,EUR (€),River Plate,Superliga Argentina,Uruguay,Attacking midfielder,23.70,167,right,4,0,2021-06-30 00:00:00,"",
742,Yari Verschaeren,https://www.footballbenchmark.com/documents/images/Logos/RSC Anderlecht.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,11.9,-2.3798101572511143,EUR (€),RSC Anderlecht,Pro League,Belgium,Attacking midfielder,19.59,,right,6,1,2022-06-30 00:00:00,"",
760,Santos Borré,https://www.footballbenchmark.com/documents/images/Logos/River Plate.png,https://www.footballbenchmark.com/documents/images/Flags/co.png,11.6,-0.3048344817068678,EUR (€),River Plate,Superliga Argentina,Colombia,Forward,25.41,174,right,2,0,2021-06-30 00:00:00,"",
770,Patrick de Paula,https://www.footballbenchmark.com/documents/images/Logos/SE Palmeiras.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,11.4,0,EUR (€),SE Palmeiras,Brazil Serie A,Brazil,Defensive midfielder,21.43,,left,,,2024-06-30 00:00:00,"",
787,Joakim Maehle,https://www.footballbenchmark.com/documents/images/Logos/KRC Genk.png,https://www.footballbenchmark.com/documents/images/Flags/dk.png,11.2,1.7337609242647254,EUR (€),KRC Genk,Pro League,Denmark,Right-back,23.73,185,right,6,1,2023-06-30 00:00:00,"",
799,Dominic Solanke,https://www.footballbenchmark.com/documents/images/Logos/AFC Bournemouth.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,11.1,2.0940244181670984,EUR (€),AFC Bournemouth,EFL Championship,England,Forward,23.41,,right,1,0,2022-06-30 00:00:00,"",
796,Jean Pyerre,https://www.footballbenchmark.com/documents/images/Logos/Gremio FBPA.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,11.1,0.38706582752644714,EUR (€),Gremio FBPA,Brazil Serie A,Brazil,Attacking midfielder,22.77,183,right,,,2023-12-31 00:00:00,"",
812,Agustín Urzi,https://www.footballbenchmark.com/documents/images/Logos/Club Atlético Banfield.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,11,3.223918487967583,EUR (€),Club Atlético Banfield,Superliga Argentina,Argentina,Left winger,20.78,176,left,,,2023-06-30 00:00:00,"",
811,Albert Sambi Lokonga,https://www.footballbenchmark.com/documents/images/Logos/RSC Anderlecht.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,11,0.14523086577407085,EUR (€),RSC Anderlecht,Pro League,Belgium,Central midfielder,21.31,173,right,,,2023-06-30 00:00:00,"",
810,Julián Álvarez,https://www.footballbenchmark.com/documents/images/Logos/River Plate.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,11,0,EUR (€),River Plate,Superliga Argentina,Argentina,Forward,21.04,173,right,,,2022-12-31 00:00:00,"",
850,Charles De Ketelaere,https://www.footballbenchmark.com/documents/images/Logos/Club Brugge.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,10.6,0.9530031168140152,EUR (€),Club Brugge,Pro League,Belgium,Attacking midfielder,19.93,185,left,1,0,2023-06-30 00:00:00,"",
853,Philip Billing,https://www.footballbenchmark.com/documents/images/Logos/AFC Bournemouth.png,https://www.footballbenchmark.com/documents/images/Flags/dk.png,10.5,-1.69711431265136,EUR (€),AFC Bournemouth,EFL Championship,Denmark,Central midfielder,24.67,193,left,1,0,2024-06-30 00:00:00,"",
873,Irfan Can Kahveci,https://www.footballbenchmark.com/documents/images/Logos/Istanbul Basaksehir FK.png,https://www.footballbenchmark.com/documents/images/Flags/tr.png,10.3,0.4586297043867589,EUR (€),Istanbul Basaksehir FK,Süper Lig,Turkey,Central midfielder,25.58,175,left,17,0,2024-06-30 00:00:00,"",
892,Edin Visca,https://www.footballbenchmark.com/documents/images/Logos/Istanbul Basaksehir FK.png,https://www.footballbenchmark.com/documents/images/Flags/ba.png,10,-0.7679644462026953,EUR (€),Istanbul Basaksehir FK,Süper Lig,Bosnia-Herzegovina,Right winger,30.99,172,right,55,10,2025-06-30 00:00:00,"",
941,Elisha Owusu,https://www.footballbenchmark.com/documents/images/Logos/KAA Gent.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,9.5,-0.4087705789091185,EUR (€),KAA Gent,Pro League,France,Defensive midfielder,23.27,182,right,,,2023-06-30 00:00:00,"",
934,Pedro de La Vega,https://www.footballbenchmark.com/documents/images/Logos/Club Atlético Lanús.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,9.5,0.01697297118926322,EUR (€),Club Atlético Lanús,Superliga Argentina,Argentina,Right winger,20.02,175,right,,,2023-06-30 00:00:00,"",
978,Gonzalo Montiel,https://www.footballbenchmark.com/documents/images/Logos/River Plate.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,9,0,EUR (€),River Plate,Superliga Argentina,Argentina,Right-back,24.12,,right,6,0,2021-06-30 00:00:00,"",
984,Nacer Chadli,https://www.footballbenchmark.com/documents/images/Logos/Istanbul Basaksehir FK.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,9,-0.21430617244672767,EUR (€),Istanbul Basaksehir FK,Süper Lig,Belgium,Left winger,31.53,,right,61,8,2022-06-30 00:00:00,"",
1000,Esteban Andrada,https://www.footballbenchmark.com/documents/images/Logos/Boca Juniors.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,8.6,-0.3776718754853672,EUR (€),Boca Juniors,Superliga Argentina,Argentina,Goalkeeper,30.05,193,right,4,0,2023-06-30 00:00:00,"",
1073,Fausto Vera,https://www.footballbenchmark.com/documents/images/Logos/Argentinos Juniors.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,8,0,EUR (€),Argentinos Juniors,Superliga Argentina,Argentina,Defensive midfielder,20.88,,,,,2021-06-30 00:00:00,"",
1108,Christian Luyindama,https://www.footballbenchmark.com/documents/images/Logos/Galatasaray SK.png,https://www.footballbenchmark.com/documents/images/Flags/cd.png,7.6,1.516835477793121,EUR (€),Galatasaray SK,Süper Lig,DR Congo,Centre-back,27.10,191,right,15,0,2022-06-30 00:00:00,"",
1107,Ozan Tufan,https://www.footballbenchmark.com/documents/images/Logos/Fenerbahce SK.png,https://www.footballbenchmark.com/documents/images/Flags/tr.png,7.6,1.5345044269388204,EUR (€),Fenerbahce SK,Süper Lig,Turkey,Central midfielder,25.89,179,right,55,7,2023-06-30 00:00:00,"",
1127,Marcelo Saracchi,https://www.footballbenchmark.com/documents/images/Logos/Galatasaray SK.png,https://www.footballbenchmark.com/documents/images/Flags/uy.png,7.5,-1.3808451285753112,EUR (€),Galatasaray SK,Süper Lig,Uruguay,Left-back,22.81,172,left,4,0,2023-06-30 00:00:00,RB Leipzig,
1139,Marcão,https://www.footballbenchmark.com/documents/images/Logos/Galatasaray SK.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,7.4,1.8829674828911953,EUR (€),Galatasaray SK,Süper Lig,Brazil,Centre-back,24.69,185,left,,,2022-06-30 00:00:00,"",
